kind,file,task,eval_mode,layer,seed,hf_id,hf_split,candidate_labels,Qs_shape,patch_desc,donor_source,donor_tasks,donor_pick,n_donor_bank,scan_effective,scan_skipped,base_acc_scan,ablt_acc_scan,flips_scan,anti_flips_scan,both_correct_scan,both_wrong_scan,patched_primary_method,patched_primary_rescued_pct,patched_primary_mean_dmargin,diff_time_shuffled_minus_patched_primary_rescued_pct,diff_patched_primary_minus_shared_randvec_rescued_pct,patched_0_rescued,patched_0_n,patched_0_rescued_pct,patched_0_mean_dmargin,patched_01_rescued,patched_01_n,patched_01_rescued_pct,patched_01_mean_dmargin,patched_full_rescued,patched_full_n,patched_full_rescued_pct,patched_full_mean_dmargin,patched_self_rescued,patched_self_n,patched_self_rescued_pct,patched_self_mean_dmargin,patched_transfer_rescued,patched_transfer_n,patched_transfer_rescued_pct,patched_transfer_mean_dmargin,control_time_shuffled_rescued,control_time_shuffled_n,control_time_shuffled_rescued_pct,control_time_shuffled_mean_dmargin,control_shared_mismatch_rescued,control_shared_mismatch_n,control_shared_mismatch_rescued_pct,control_shared_mismatch_mean_dmargin,control_shared_perm_rescued,control_shared_perm_n,control_shared_perm_rescued_pct,control_shared_perm_mean_dmargin,control_shared_signflip_rescued,control_shared_signflip_n,control_shared_signflip_rescued_pct,control_shared_signflip_mean_dmargin,control_shared_randvec_rescued,control_shared_randvec_n,control_shared_randvec_rescued_pct,control_shared_randvec_mean_dmargin,control_rand_subspace_rescued,control_rand_subspace_n,control_rand_subspace_rescued_pct,control_rand_subspace_mean_dmargin,control_patch_nonshared_rescued,control_patch_nonshared_n,control_patch_nonshared_rescued_pct,control_patch_nonshared_mean_dmargin
flipset,aqua_alpha_sweep_seed123.json,aqua,,24,123,,,ABCDE,4096x147,steps=0,,,,,254,0,0.20866141732283464,0.2283464566929134,33,38,20,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flipset,aqua_alpha_sweep_seed456.json,aqua,,24,456,,,ABCDE,4096x160,steps=0,,,,,254,0,0.20866141732283464,0.2047244094488189,38,37,15,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flipset,aqua_transfer_cross_mc_baselinecorrect_seed123.json,aqua,,24,123,,,ABCDE,4096x147,steps=0,cross_task_eval,"commonsenseqa,openbookqa",random,256,254,0,0.20866141732283464,0.2283464566929134,33,38,20,163,patched_self,57.57575757575758,2.3019115924835205,,,,,,,,,,,,,,,19,33,57.57575757575758,2.3019115924835205,10,33,30.303030303030305,1.4350872039794922,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flipset,aqua_transfer_same_task_seed123.json,aqua,,24,123,,,ABCDE,4096x147,steps=0,same_task_eval,aqua,random,254,254,0,0.20866141732283464,0.2283464566929134,33,38,20,163,patched_self,57.57575757575758,2.3019115924835205,,,,,,,,,,,,,,,19,33,57.57575757575758,2.3019115924835205,14,33,42.42424242424242,1.9193432331085205,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openanswer,gsm8k_genmath.json,gsm8k,gen_math,24,123,gsm8k/main,,,4096x147,"steps=0,1,2,3",,,,,256,0,0.0390625,0.0,10,0,0,246,patched_self,80.0,,-30.0,70.0,,,,,,,,,,,,,8,10,80.0,,,,,,5,10,50.0,,,,,,,,,,,,,,1,10,10.0,,1,10,10.0,,0,10,0.0,
openanswer,gsm8k_pairlogprob.json,gsm8k,pair_logprob,24,123,gsm8k/main,,,4096x147,"steps=0,1,2,3",,,,,256,0,0.625,0.59765625,20,13,140,83,patched_self,85.0,4.745029926300049,-15.0,85.0,,,,,,,,,,,,,17,20,85.0,4.745029926300049,,,,,14,20,70.0,4.1373796463012695,,,,,,,,,,,,,0,20,0.0,0.06433989107608795,0,20,0.0,0.04353522136807442,1,20,5.0,-0.000930058944504708
openanswer,humaneval_gencode_compile.json,humaneval,gen_code_compile,24,123,openai_humaneval,test,,4096x147,"steps=0,1,2,3",,,,,0,164,,,0,0,0,0,patched_self,20.0,,5.714285714285715,14.285714285714285,,,,,,,,,,,,,7,35,20.0,,,,,,9,35,25.714285714285715,,,,,,,,,,,,,,2,35,5.714285714285714,,1,35,2.857142857142857,,0,35,0.0,
openanswer,humaneval_pairlogprob.json,humaneval,pair_logprob,24,123,openai_humaneval,test,,4096x147,"steps=0,1,2,3",,,,,164,0,0.6585365853658537,0.6402439024390244,6,3,102,53,patched_self,83.33333333333333,2.1658904552459717,-49.99999999999999,83.33333333333333,,,,,,,,,,,,,5,6,83.33333333333333,2.1658904552459717,,,,,2,6,33.333333333333336,1.52643883228302,,,,,,,,,,,,,0,6,0.0,0.008212998509407043,0,6,0.0,0.16070280969142914,0,6,0.0,0.14677810668945312
subspace_mc,aqua.json,aqua,,24,123,,,ABCDE,4096x147,,,,,,254,0,0.20866141732283464,0.2283464566929134,33,38,20,163,patched_0,57.57575757575758,2.3019116719563804,-12.121212121212125,51.515151515151516,19,33,57.57575757575758,2.3019116719563804,33,33,100.0,2.9381862409187085,33,33,100.0,2.9381862409187085,,,,,,,,,15,33,45.45454545454545,2.0936073823408647,,,,,,,,,,,,,2,33,6.0606060606060606,0.08595483953302557,0,33,0.0,-0.007613052021373402,0,33,0.0,-1.4449610854640152e-07
subspace_mc,arc_challenge.json,arc_challenge,,24,123,,,ABCD,4096x147,,,,,,255,1,0.5137254901960784,0.47058823529411764,36,25,95,99,patched_0,69.44444444444444,2.383243136935764,-8.333333333333329,61.11111111111111,25,36,69.44444444444444,2.383243136935764,36,36,100.0,2.8684209717644586,36,36,100.0,2.8684209717644586,,,,,,,,,22,36,61.111111111111114,1.761499563852946,,,,,,,,,,,,,3,36,8.333333333333334,-0.32323756482866073,1,36,2.7777777777777777,-0.2843598524729411,0,36,0.0,2.1192762586805554e-07
