size_bytes	size_human	path	suggested_hf_path
56790971967	53GB	downstream/outputs/llama2_r0.2_decodeshare_a2/meta-llama_Llama-2-7b-chat-hf_profiling___calib_mix_jsonl_128_0.pt	artifacts/downstream/outputs/llama2_r0.2_decodeshare_a2/meta-llama_Llama-2-7b-chat-hf_profiling___calib_mix_jsonl_128_0.pt
56790971967	53GB	downstream/outputs/llama2_r0.2_baseline/meta-llama_Llama-2-7b-chat-hf_profiling___calib_mix_jsonl_128_0.pt	artifacts/downstream/outputs/llama2_r0.2_baseline/meta-llama_Llama-2-7b-chat-hf_profiling___calib_mix_jsonl_128_0.pt
56790969999	53GB	downstream/outputs/svdllm_whiten_r0.2/meta_llama_Llama_2_7b_chat_hf_profiling_wikitext2_128_0.pt	artifacts/downstream/outputs/svdllm_whiten_r0.2/meta_llama_Llama_2_7b_chat_hf_profiling_wikitext2_128_0.pt
56790954643	53GB	downstream/svdllm_vendor/jeffwan_llama-7b-hf_profiling_wikitext2_256_3.pt	artifacts/downstream/svdllm_vendor/jeffwan_llama-7b-hf_profiling_wikitext2_256_3.pt
21380624915	20GB	downstream/outputs/llama2_r0.2_decodeshare_a2/meta_llama_Llama_2_7b_chat_hf_whitening_only_keep0p8_decodeshare_a2p0.pt	artifacts/downstream/outputs/llama2_r0.2_decodeshare_a2/meta_llama_Llama_2_7b_chat_hf_whitening_only_keep0p8_decodeshare_a2p0.pt
21380619843	20GB	downstream/outputs/llama2_r0.2_baseline/meta_llama_Llama_2_7b_chat_hf_whitening_only_keep0p8_baseline.pt	artifacts/downstream/outputs/llama2_r0.2_baseline/meta_llama_Llama_2_7b_chat_hf_whitening_only_keep0p8_baseline.pt
21380577134	20GB	downstream/outputs/svdllm_whiten_r0.2/meta_llama_Llama_2_7b_chat_hf_whitening_only_0.8.pt	artifacts/downstream/outputs/svdllm_whiten_r0.2/meta_llama_Llama_2_7b_chat_hf_whitening_only_0.8.pt
21313503263	20GB	downstream/svdllm_vendor/jeffwan_llama_7b_hf_whitening_only_keep0p8_baseline.pt	artifacts/downstream/svdllm_vendor/jeffwan_llama_7b_hf_whitening_only_keep0p8_baseline.pt
4983137632	4.7GB	rebuttal/downstream_compress/Basis_Sharing/untrained_model/share_llama-7b_20/wikitext/pytorch_model-00003-of-00005.bin	artifacts/rebuttal/downstream_compress/Basis_Sharing/untrained_model/share_llama-7b_20/wikitext/pytorch_model-00003-of-00005.bin
4964071764	4.7GB	rebuttal/downstream_compress/Basis_Sharing/untrained_model/share_llama-7b_20/wikitext/pytorch_model-00004-of-00005.bin	artifacts/rebuttal/downstream_compress/Basis_Sharing/untrained_model/share_llama-7b_20/wikitext/pytorch_model-00004-of-00005.bin
4959979864	4.7GB	rebuttal/downstream_compress/Basis_Sharing/untrained_model/share_llama-7b_20/wikitext/pytorch_model-00001-of-00005.bin	artifacts/rebuttal/downstream_compress/Basis_Sharing/untrained_model/share_llama-7b_20/wikitext/pytorch_model-00001-of-00005.bin
4897586561	4.6GB	rebuttal/downstream_compress/Basis_Sharing/untrained_model/share_llama-7b_20/wikitext/pytorch_model-00002-of-00005.bin	artifacts/rebuttal/downstream_compress/Basis_Sharing/untrained_model/share_llama-7b_20/wikitext/pytorch_model-00002-of-00005.bin
1963599164	1.9GB	rebuttal/downstream_compress/Basis_Sharing/untrained_model/share_llama-7b_20/wikitext/pytorch_model-00005-of-00005.bin	artifacts/rebuttal/downstream_compress/Basis_Sharing/untrained_model/share_llama-7b_20/wikitext/pytorch_model-00005-of-00005.bin
1554163196	1.5GB	brittleness/old/shared_basis_l10_tau1e-3.npz	artifacts/brittleness/old/shared_basis_l10_tau1e-3.npz
304087168	291MB	Hype1/results/acts/meta-llama_Llama-2-7b-chat-hf/layer10_n128_new256_maxlen512_states20000_seed42/strategyqa.npy	artifacts/Hype1/results/acts/meta-llama_Llama-2-7b-chat-hf/layer10_n128_new256_maxlen512_states20000_seed42/strategyqa.npy
304087168	291MB	Hype1/results/acts/meta-llama_Llama-2-7b-chat-hf/layer10_n128_new256_maxlen512_states20000_seed42/qasc.npy	artifacts/Hype1/results/acts/meta-llama_Llama-2-7b-chat-hf/layer10_n128_new256_maxlen512_states20000_seed42/qasc.npy
304087168	291MB	Hype1/results/acts/meta-llama_Llama-2-7b-chat-hf/layer10_n128_new256_maxlen512_states20000_seed42/piqa.npy	artifacts/Hype1/results/acts/meta-llama_Llama-2-7b-chat-hf/layer10_n128_new256_maxlen512_states20000_seed42/piqa.npy
304087168	291MB	Hype1/results/acts/meta-llama_Llama-2-7b-chat-hf/layer10_n128_new256_maxlen512_states20000_seed42/openbookqa.npy	artifacts/Hype1/results/acts/meta-llama_Llama-2-7b-chat-hf/layer10_n128_new256_maxlen512_states20000_seed42/openbookqa.npy
304087168	291MB	Hype1/results/acts/meta-llama_Llama-2-7b-chat-hf/layer10_n128_new256_maxlen512_states20000_seed42/gsm8k.npy	artifacts/Hype1/results/acts/meta-llama_Llama-2-7b-chat-hf/layer10_n128_new256_maxlen512_states20000_seed42/gsm8k.npy
304087168	291MB	Hype1/results/acts/meta-llama_Llama-2-7b-chat-hf/layer10_n128_new256_maxlen512_states20000_seed42/commonsenseqa.npy	artifacts/Hype1/results/acts/meta-llama_Llama-2-7b-chat-hf/layer10_n128_new256_maxlen512_states20000_seed42/commonsenseqa.npy
304087168	291MB	Hype1/results/acts/meta-llama_Llama-2-7b-chat-hf/layer10_n128_new256_maxlen512_states20000_seed42/boolq.npy	artifacts/Hype1/results/acts/meta-llama_Llama-2-7b-chat-hf/layer10_n128_new256_maxlen512_states20000_seed42/boolq.npy
304087168	291MB	Hype1/results/acts/meta-llama_Llama-2-7b-chat-hf/layer10_n128_new256_maxlen512_states20000_seed42/aqua.npy	artifacts/Hype1/results/acts/meta-llama_Llama-2-7b-chat-hf/layer10_n128_new256_maxlen512_states20000_seed42/aqua.npy
286720128	274MB	Hype1/results/acts/Qwen_Qwen2.5-7B-Instruct/layer10_n128_new256_maxlen512_states20000_seed42/strategyqa.npy	artifacts/Hype1/results/acts/Qwen_Qwen2.5-7B-Instruct/layer10_n128_new256_maxlen512_states20000_seed42/strategyqa.npy
